person_nbr,officer_id,full_name,first_name_npi,last_name_npi,agency_name_score,full_name_score,first_name_oov,oov_middle_initial,last_name_oov,rank,agency_name,oov_agency_name,start_date,end_date
4218,86305,ROBERT DICKMAN,ROBERT,DICKMAN,1.0,1.0,ROBERT,V.,DICKMAN,LIEUTENANT,AMHERST COUNTY SHERIFF'S OFFICE,AMHERST COUNTY SHERIFF'S OFFICE,2017-01-01,
80768,86311,MITCHELL HARRISON,MITCHELL,HARRISON,1.0,1.0,MITCHELL,D.,HARRISON,LIEUTENANT,AMHERST COUNTY SHERIFF'S OFFICE,AMHERST COUNTY SHERIFF'S OFFICE,2022-10-03,
56326,86300,WILLIAM CHEEK,WILLIAM,CHEEK,1.0,1.0,WILLIAM,L.,CHEEK,SERGEANT,AMHERST COUNTY SHERIFF'S OFFICE,AMHERST COUNTY SHERIFF'S OFFICE,2021-06-09,
16623,86292,BRIAN ANDERSON,BRIAN,ANDERSON,1.0,1.0,BRIAN,C.,ANDERSON,SERGEANT,AMHERST COUNTY SHERIFF'S OFFICE,AMHERST COUNTY SHERIFF'S OFFICE,2023-01-03,
6462,86316,JOHN KODA,JOHN,KODA,1.0,1.0,JOHN,A.,KODA,LIEUTENANT,AMHERST COUNTY SHERIFF'S OFFICE,AMHERST COUNTY SHERIFF'S OFFICE,2019-01-01,
30291,86303,CRAIG DAVIS,CRAIG,DAVIS,1.0,1.0,CRAIG,A.,DAVIS,CAPTAIN,AMHERST COUNTY SHERIFF'S OFFICE,AMHERST COUNTY SHERIFF'S OFFICE,1993-07-15,
81743,86340,LAURA TOLBERT,LAURA,TOLBERT,1.0,1.0,LAURA,A.,TOLBERT,DEPUTY SHERIFF,AMHERST COUNTY SHERIFF'S OFFICE,AMHERST COUNTY SHERIFF'S OFFICE,2021-09-15,
104381,86320,SHERWOOD MARTIN,SHERWOOD,MARTIN,1.0,1.0,SHERWOOD,W.,MARTIN,DEPUTY SHERIFF,AMHERST COUNTY SHERIFF'S OFFICE,AMHERST COUNTY SHERIFF'S OFFICE,2014-06-30,
43389,86321,RYAN MAYHEW,RYAN,MAYHEW,1.0,1.0,RYAN,C.,MAYHEW,DEPUTY SHERIFF,AMHERST COUNTY SHERIFF'S OFFICE,AMHERST COUNTY SHERIFF'S OFFICE,2023-02-01,
148509,86335,DANIEL SHORES,DANIEL,SHORES,1.0,1.0,DANIEL,R.,SHORES,SERGEANT,AMHERST COUNTY SHERIFF'S OFFICE,AMHERST COUNTY SHERIFF'S OFFICE,2020-12-01,
154871,86304,NICHOLAS DEAL,NICHOLAS,DEAL,1.0,1.0,NICHOLAS,A.,DEAL,DEPUTY SHERIFF,AMHERST COUNTY SHERIFF'S OFFICE,AMHERST COUNTY SHERIFF'S OFFICE,2022-05-24,
128698,86291,AMANDA AGUIRRE,AMANDA,AGUIRRE,1.0,1.0,AMANDA,L.,AGUIRRE,DEPUTY SHERIFF,AMHERST COUNTY SHERIFF'S OFFICE,AMHERST COUNTY SHERIFF'S OFFICE,2014-03-01,
72463,86334,JACOB SHELTON,JACOB,SHELTON,1.0,1.0,JACOB,R.,SHELTON,DEPUTY SHERIFF,AMHERST COUNTY SHERIFF'S OFFICE,AMHERST COUNTY SHERIFF'S OFFICE,2022-10-17,
84785,86315,GREGORY JONES,GREGORY,JONES,1.0,1.0,GREGORY,P.,JONES,LIEUTENANT,AMHERST COUNTY SHERIFF'S OFFICE,AMHERST COUNTY SHERIFF'S OFFICE,2013-01-14,
15077,78342,SALVATORE COPPOLA,SALVATORE,COPPOLA,1.0,1.0,SALVATORE,D.,COPPOLA,DEPUTY SHERIFF,AUGUSTA COUNTY SHERIFF'S OFFICE,AUGUSTA COUNTY SHERIFF'S OFFICE,2016-02-01,
26589,78362,BRIAN JENKINS,BRIAN,JENKINS,1.0,1.0,BRIAN,J.,JENKINS,LIEUTENANT,AUGUSTA COUNTY SHERIFF'S OFFICE,AUGUSTA COUNTY SHERIFF'S OFFICE,2006-04-01,
10330,78376,WILLIAM MIKOLAY,WILLIAM,MIKOLAY,1.0,1.0,WILLIAM,Anthony,MIKOLAY,SERGEANT,AUGUSTA COUNTY SHERIFF'S OFFICE,AUGUSTA COUNTY SHERIFF'S OFFICE,2016-07-01,
34937,78359,WESLEY HILL,WESLEY,HILL,1.0,1.0,WESLEY,Scott,HILL,DEPUTY SHERIFF,AUGUSTA COUNTY SHERIFF'S OFFICE,AUGUSTA COUNTY SHERIFF'S OFFICE,2017-07-01,
32894,78337,STEVEN CASON,STEVEN,CASON,1.0,1.0,STEVEN,,CASON,LIEUTENANT,AUGUSTA COUNTY SHERIFF'S OFFICE,AUGUSTA COUNTY SHERIFF'S OFFICE,2016-02-01,
38932,78380,THOMAS PULTZ,THOMAS,PULTZ,1.0,1.0,THOMAS,Christopher,PULTZ,SERGEANT,AUGUSTA COUNTY SHERIFF'S OFFICE,AUGUSTA COUNTY SHERIFF'S OFFICE,2001-02-01,
53879,78405,MATTHEW VINCENT,MATTHEW,VINCENT,1.0,1.0,MATTHEW,T.,VINCENT,DEPUTY SHERIFF,AUGUSTA COUNTY SHERIFF'S OFFICE,AUGUSTA COUNTY SHERIFF'S OFFICE,2015-05-01,
38377,78347,CHARLES DIETZ,CHARLES,DIETZ,1.0,1.0,CHARLES,J.,DIETZ,DEPUTY SHERIFF,AUGUSTA COUNTY SHERIFF'S OFFICE,AUGUSTA COUNTY SHERIFF'S OFFICE,2000-10-09,
43683,78351,PATRICK FUCHS,PATRICK,FUCHS,1.0,1.0,PATRICK,Bradley,FUCHS,DEPUTY SHERIFF,AUGUSTA COUNTY SHERIFF'S OFFICE,AUGUSTA COUNTY SHERIFF'S OFFICE,2012-03-12,
59746,78366,CHAD MARSHALL,CHAD,MARSHALL,1.0,1.0,CHAD,F.,MARSHALL,DEPUTY SHERIFF,AUGUSTA COUNTY SHERIFF'S OFFICE,AUGUSTA COUNTY SHERIFF'S OFFICE,2014-07-01,
50989,78387,JERRY SHIFFLETT,JERRY,SHIFFLETT,1.0,1.0,JERRY,W.,SHIFFLETT,DEPUTY SHERIFF,AUGUSTA COUNTY SHERIFF'S OFFICE,AUGUSTA COUNTY SHERIFF'S OFFICE,2001-07-01,
116448,78328,LUKE BRYANT,LUKE,BRYANT,1.0,1.0,LUKE,Harrison,BRYANT,DEPUTY SHERIFF,AUGUSTA COUNTY SHERIFF'S OFFICE,AUGUSTA COUNTY SHERIFF'S OFFICE,2018-08-01,
50243,78323,DONALD ARNOLD,DONALD,ARNOLD,1.0,1.0,DONALD,E.,ARNOLD,SERGEANT,AUGUSTA COUNTY SHERIFF'S OFFICE,AUGUSTA COUNTY SHERIFF'S OFFICE,1999-02-01,
40982,78382,RONALD REID,RONALD,REID,1.0,1.0,RONALD,Lee,REID,DEPUTY SHERIFF,AUGUSTA COUNTY SHERIFF'S OFFICE,AUGUSTA COUNTY SHERIFF'S OFFICE,2017-07-01,
54365,78352,JOSEPH GALE,JOSEPH,GALE,1.0,1.0,JOSEPH,Earl,GALE,DEPUTY SHERIFF,AUGUSTA COUNTY SHERIFF'S OFFICE,AUGUSTA COUNTY SHERIFF'S OFFICE,2019-05-01,
60553,78350,TREVOR FOOTE,TREVOR,FOOTE,1.0,1.0,TREVOR,A.,FOOTE,DEPUTY SHERIFF,AUGUSTA COUNTY SHERIFF'S OFFICE,AUGUSTA COUNTY SHERIFF'S OFFICE,2017-07-01,
62694,78338,RYAN CHANDLER,RYAN,CHANDLER,1.0,1.0,RYAN,K.,CHANDLER,INVESTIGATOR,AUGUSTA COUNTY SHERIFF'S OFFICE,AUGUSTA COUNTY SHERIFF'S OFFICE,2016-07-01,
71785,78369,RYAN MCCLAMROCH,RYAN,MCCLAMROCH,1.0,1.0,RYAN,Seth,MCCLAMROCH,DEPUTY SHERIFF,AUGUSTA COUNTY SHERIFF'S OFFICE,AUGUSTA COUNTY SHERIFF'S OFFICE,2018-04-01,
68735,78360,CHRISTOPHER HILLIARD,CHRISTOPHER,HILLIARD,1.0,1.0,CHRISTOPHER,M.,HILLIARD,DEPUTY SHERIFF,AUGUSTA COUNTY SHERIFF'S OFFICE,AUGUSTA COUNTY SHERIFF'S OFFICE,2018-12-01,
61131,78402,MICHAEL THORNTON,MICHAEL,THORNTON,1.0,1.0,MICHAEL,Alexander,THORNTON,DEPUTY SHERIFF,AUGUSTA COUNTY SHERIFF'S OFFICE,AUGUSTA COUNTY SHERIFF'S OFFICE,2019-04-29,
81045,78393,LESLIE SNYDER,LESLIE,SNYDER,1.0,1.0,LESLIE,K.,SNYDER,DEPUTY SHERIFF,AUGUSTA COUNTY SHERIFF'S OFFICE,AUGUSTA COUNTY SHERIFF'S OFFICE,1998-09-01,
74288,78365,TYLER KIRBY,TYLER,KIRBY,1.0,1.0,TYLER,Matthew,KIRBY,DEPUTY SHERIFF,AUGUSTA COUNTY SHERIFF'S OFFICE,AUGUSTA COUNTY SHERIFF'S OFFICE,2019-05-01,
74679,78396,CODY STROOP,CODY,STROOP,1.0,1.0,CODY,Austin,STROOP,DEPUTY SHERIFF,AUGUSTA COUNTY SHERIFF'S OFFICE,AUGUSTA COUNTY SHERIFF'S OFFICE,2018-07-01,
98516,78398,WAYNE SURFACE,WAYNE,SURFACE,1.0,1.0,WAYNE,Leroy,SURFACE,DEPUTY SHERIFF,AUGUSTA COUNTY SHERIFF'S OFFICE,AUGUSTA COUNTY SHERIFF'S OFFICE,1995-02-01,
99992,78406,JONATHAN WELLS,JONATHAN,WELLS,1.0,1.0,JONATHAN,D.,WELLS,CORPORAL,AUGUSTA COUNTY SHERIFF'S OFFICE,AUGUSTA COUNTY SHERIFF'S OFFICE,2006-04-10,
90736,78407,MATTHEW WILCHER,MATTHEW,WILCHER,1.0,1.0,MATTHEW,Trent,WILCHER,CORPORAL,AUGUSTA COUNTY SHERIFF'S OFFICE,AUGUSTA COUNTY SHERIFF'S OFFICE,2018-06-01,
80643,78390,DONALD SMITH,DONALD,SMITH,1.0,1.0,DONALD,Lee,SMITH,DEPUTY SHERIFF,AUGUSTA COUNTY SHERIFF'S OFFICE,AUGUSTA COUNTY SHERIFF'S OFFICE,2003-12-01,
120016,78356,DEREK HARTMAN,DEREK,HARTMAN,1.0,1.0,DEREK,R.,HARTMAN,DEPUTY SHERIFF,AUGUSTA COUNTY SHERIFF'S OFFICE,AUGUSTA COUNTY SHERIFF'S OFFICE,2018-07-01,
100019,78373,NOEL MCMANAWAY,NOEL,MCMANAWAY,1.0,1.0,NOEL,B.,MCMANAWAY,DEPUTY SHERIFF,AUGUSTA COUNTY SHERIFF'S OFFICE,AUGUSTA COUNTY SHERIFF'S OFFICE,2014-12-15,
93043,78353,JOSHUA GRAVES,JOSHUA,GRAVES,1.0,1.0,JOSHUA,L.,GRAVES,DEPUTY SHERIFF,AUGUSTA COUNTY SHERIFF'S OFFICE,AUGUSTA COUNTY SHERIFF'S OFFICE,2013-12-02,
92115,78408,AARON WILL,AARON,WILL,1.0,1.0,AARON,Boyd,WILL,DEPUTY SHERIFF,AUGUSTA COUNTY SHERIFF'S OFFICE,AUGUSTA COUNTY SHERIFF'S OFFICE,2016-04-01,
78212,78346,WILLIAM DAVIS,WILLIAM,DAVIS,1.0,1.0,WILLIAM,S.,DAVIS,DEPUTY SHERIFF,AUGUSTA COUNTY SHERIFF'S OFFICE,AUGUSTA COUNTY SHERIFF'S OFFICE,2017-07-01,
110239,78392,JAMES SNYDER,JAMES,SNYDER,1.0,1.0,JAMES,G.,SNYDER,LIEUTENANT,AUGUSTA COUNTY SHERIFF'S OFFICE,AUGUSTA COUNTY SHERIFF'S OFFICE,2006-09-01,
122969,78394,SHAMICA SPEARS,SHAMICA,SPEARS,1.0,1.0,SHAMICA,R.,SPEARS,CORPORAL,AUGUSTA COUNTY SHERIFF'S OFFICE,AUGUSTA COUNTY SHERIFF'S OFFICE,2017-12-01,
123073,78361,DYLAN HUDNALL,DYLAN,HUDNALL,1.0,1.0,DYLAN,A.,HUDNALL,DEPUTY SHERIFF,AUGUSTA COUNTY SHERIFF'S OFFICE,AUGUSTA COUNTY SHERIFF'S OFFICE,2008-05-15,
75870,78283,TATUMN HARLOW,TATUMN,HARLOW,1.0,1.0,TATUMN,S.,HARLOW,DEPUTY SHERIFF,BATH COUNTY SHERIFF'S OFFICE,BATH COUNTY SHERIFF'S OFFICE,2020-12-16,
99686,78285,JAMES BRYAN,JAMES,BRYAN,1.0,1.0,JAMES,W.,BRYAN,CHIEF DEPUTY,BATH COUNTY SHERIFF'S OFFICE,BATH COUNTY SHERIFF'S OFFICE,1989-10-01,
114717,78289,CHASE ALTIZER,CHASE,ALTIZER,1.0,1.0,CHASE,H.,ALTIZER,DEPUTY SHERIFF,BATH COUNTY SHERIFF'S OFFICE,BATH COUNTY SHERIFF'S OFFICE,2018-10-01,
89654,78295,THOMAS MCROBERTS,THOMAS,MCROBERTS,1.0,1.0,THOMAS,N.,MCROBERTS,DEPUTY SHERIFF,BATH COUNTY SHERIFF'S OFFICE,BATH COUNTY SHERIFF'S OFFICE,2012-01-16,
82531,78293,MICHAEL COLAW,MICHAEL,COLAW,1.0,1.0,MICHAEL,S.,COLAW,DEPUTY SHERIFF,BATH COUNTY SHERIFF'S OFFICE,BATH COUNTY SHERIFF'S OFFICE,2012-01-16,
64520,78291,RAYMOND MILLER,RAYMOND,MILLER,1.0,1.0,RAYMOND,L.,MILLER,DEPUTY SHERIFF,BATH COUNTY SHERIFF'S OFFICE,BATH COUNTY SHERIFF'S OFFICE,2021-05-24,
71930,78290,CODY SMITH,CODY,SMITH,1.0,1.0,CODY,R.,SMITH,DEPUTY SHERIFF,BATH COUNTY SHERIFF'S OFFICE,BATH COUNTY SHERIFF'S OFFICE,2010-08-01,
114847,78294,DAVEY SMITH,DAVEY,SMITH,1.0,1.0,DAVEY,L.,SMITH,DEPUTY SHERIFF,BATH COUNTY SHERIFF'S OFFICE,BATH COUNTY SHERIFF'S OFFICE,2018-10-01,
115779,78297,TANNER PLECKER,TANNER,PLECKER,1.0,1.0,TANNER,C.,PLECKER,DEPUTY SHERIFF,BATH COUNTY SHERIFF'S OFFICE,BATH COUNTY SHERIFF'S OFFICE,2020-12-21,
2047,84925,STEPHEN ANDERS,STEPHEN,ANDERS,1.0,1.0,STEPHEN,P.,ANDERS,SERGEANT,BEDFORD COUNTY SHERIFF'S OFFICE,BEDFORD COUNTY SHERIFF'S OFFICE,2007-07-01,
2013,84924,MICHELLE ALDERSON,MICHELLE,ALDERSON,1.0,1.0,MICHELLE,C.,ALDERSON,DEPUTY SHERIFF,BEDFORD COUNTY SHERIFF'S OFFICE,BEDFORD COUNTY SHERIFF'S OFFICE,2020-01-13,
23028,84999,JOSEPH REINER,JOSEPH,REINER,1.0,1.0,JOSEPH,K.,REINER,DEPUTY SHERIFF,BEDFORD COUNTY SHERIFF'S OFFICE,BEDFORD COUNTY SHERIFF'S OFFICE,2013-01-09,
27221,85021,MARK WILSON,MARK,WILSON,1.0,1.0,MARK,D.,WILSON,DEPUTY SHERIFF,BEDFORD COUNTY SHERIFF'S OFFICE,BEDFORD COUNTY SHERIFF'S OFFICE,2015-04-01,
17235,84971,JASON HINTON,JASON,HINTON,1.0,1.0,JASON,B.,HINTON,DEPUTY SHERIFF,BEDFORD COUNTY SHERIFF'S OFFICE,BEDFORD COUNTY SHERIFF'S OFFICE,2018-06-11,
16203,85005,RYESHEEM STATEN,RYESHEEM,STATEN,1.0,1.0,RYESHEEM,L.,STATEN,DEPUTY SHERIFF,BEDFORD COUNTY SHERIFF'S OFFICE,BEDFORD COUNTY SHERIFF'S OFFICE,2017-01-01,
40543,84991,RYAN NASH,RYAN,NASH,1.0,1.0,RYAN,L.,NASH,DEPUTY SHERIFF,BEDFORD COUNTY SHERIFF'S OFFICE,BEDFORD COUNTY SHERIFF'S OFFICE,1997-05-06,
31113,84941,CHRISTOPHER COOK,CHRISTOPHER,COOK,1.0,1.0,CHRISTOPHER,L.,COOK,DEPUTY SHERIFF,BEDFORD COUNTY SHERIFF'S OFFICE,BEDFORD COUNTY SHERIFF'S OFFICE,2010-11-15,
52546,84946,GIOVANNI CUCCI,GIOVANNI,CUCCI,1.0,1.0,GIOVANNI,P.,CUCCI,DEPUTY SHERIFF,BEDFORD COUNTY SHERIFF'S OFFICE,BEDFORD COUNTY SHERIFF'S OFFICE,2013-06-01,
31594,85012,ASHLEY WALLACE,ASHLEY,WALLACE,1.0,1.0,ASHLEY,E.,WALLACE,DEPUTY SHERIFF,BEDFORD COUNTY SHERIFF'S OFFICE,BEDFORD COUNTY SHERIFF'S OFFICE,2017-02-01,
42703,84974,JOHNATHAN JACKSON,JOHNATHAN,JACKSON,1.0,1.0,JOHNATHAN,D.,JACKSON,DEPUTY SHERIFF,BEDFORD COUNTY SHERIFF'S OFFICE,BEDFORD COUNTY SHERIFF'S OFFICE,2007-07-16,
85023,84955,HEATH FARREN,HEATH,FARREN,1.0,1.0,HEATH,P.,FARREN,DEPUTY SHERIFF,BEDFORD COUNTY SHERIFF'S OFFICE,BEDFORD COUNTY SHERIFF'S OFFICE,2020-01-01,
79521,84957,ROBERT FERGUSON,ROBERT,FERGUSON,1.0,1.0,ROBERT,G.,FERGUSON,DEPUTY SHERIFF,BEDFORD COUNTY SHERIFF'S OFFICE,BEDFORD COUNTY SHERIFF'S OFFICE,2014-09-15,
38855,85027,SHANNON ZIMMERMAN,SHANNON,ZIMMERMAN,1.0,1.0,SHANNON,T.,ZIMMERMAN,DEPUTY SHERIFF,BEDFORD COUNTY SHERIFF'S OFFICE,BEDFORD COUNTY SHERIFF'S OFFICE,1997-09-01,
101463,84983,JONATHAN MADDOX,JONATHAN,MADDOX,1.0,1.0,JONATHAN,P.,MADDOX,DEPUTY SHERIFF,BEDFORD COUNTY SHERIFF'S OFFICE,BEDFORD COUNTY SHERIFF'S OFFICE,2016-04-01,
69908,84935,GARLEN BURNETTE,GARLEN,BURNETTE,1.0,1.0,GARLEN,R.,BURNETTE,DEPUTY SHERIFF,BEDFORD COUNTY SHERIFF'S OFFICE,BEDFORD COUNTY SHERIFF'S OFFICE,2012-01-01,
118692,84954,BRIAN ELLIS,BRIAN,ELLIS,1.0,1.0,BRIAN,S.,ELLIS,DEPUTY SHERIFF,BEDFORD COUNTY SHERIFF'S OFFICE,BEDFORD COUNTY SHERIFF'S OFFICE,2018-06-11,
61973,85019,JON WILKS,JON,WILKS,1.0,1.0,JON,D.,WILKS,DEPUTY SHERIFF,BEDFORD COUNTY SHERIFF'S OFFICE,BEDFORD COUNTY SHERIFF'S OFFICE,2000-07-20,
151158,84995,KEITH PETERSON,KEITH,PETERSON,1.0,1.0,KEITH,D.,PETERSON,DEPUTY SHERIFF,BEDFORD COUNTY SHERIFF'S OFFICE,BEDFORD COUNTY SHERIFF'S OFFICE,2020-03-06,
145097,84972,MICHAEL HOLT,MICHAEL,HOLT,1.0,1.0,MICHAEL,G.,HOLT,DEPUTY SHERIFF,BEDFORD COUNTY SHERIFF'S OFFICE,BEDFORD COUNTY SHERIFF'S OFFICE,2008-05-01,
82159,84953,CHRISTIAN EDMONDSON,CHRISTIAN,EDMONDSON,1.0,1.0,CHRISTIAN,A.,EDMONDSON,INVESTIGATOR,BEDFORD COUNTY SHERIFF'S OFFICE,BEDFORD COUNTY SHERIFF'S OFFICE,2006-08-01,
138086,84976,JERRY JONES,JERRY,JONES,1.0,1.0,JERRY,Jason,JONES,DEPUTY SHERIFF,BEDFORD COUNTY SHERIFF'S OFFICE,BEDFORD COUNTY SHERIFF'S OFFICE,2003-11-17,
145680,85008,TIMOTHY TILLMAN,TIMOTHY,TILLMAN,1.0,1.0,TIMOTHY,M.,TILLMAN,DEPUTY SHERIFF,BEDFORD COUNTY SHERIFF'S OFFICE,BEDFORD COUNTY SHERIFF'S OFFICE,2019-07-01,
95243,84979,TAYLOR LAWSON,TAYLOR,LAWSON,1.0,1.0,TAYLOR,M.,LAWSON,DEPUTY SHERIFF,BEDFORD COUNTY SHERIFF'S OFFICE,BEDFORD COUNTY SHERIFF'S OFFICE,2019-07-01,
150284,85014,ANDREW WEAVER,ANDREW,WEAVER,1.0,1.0,ANDREW,T.,WEAVER,DEPUTY SHERIFF,BEDFORD COUNTY SHERIFF'S OFFICE,BEDFORD COUNTY SHERIFF'S OFFICE,2017-07-01,
100819,84961,DAVID GEHMAN,DAVID,GEHMAN,1.0,1.0,DAVID,A.,GEHMAN,DEPUTY SHERIFF,BEDFORD COUNTY SHERIFF'S OFFICE,BEDFORD COUNTY SHERIFF'S OFFICE,2014-12-01,
151057,84978,JOSEPH KIRKPATRICK,JOSEPH,KIRKPATRICK,1.0,1.0,JOSEPH,A.,KIRKPATRICK,DEPUTY SHERIFF,BEDFORD COUNTY SHERIFF'S OFFICE,BEDFORD COUNTY SHERIFF'S OFFICE,2018-06-11,
114291,85016,ANDREW WEBSTER,ANDREW,WEBSTER,1.0,1.0,ANDREW,T.,WEBSTER,DEPUTY SHERIFF,BEDFORD COUNTY SHERIFF'S OFFICE,BEDFORD COUNTY SHERIFF'S OFFICE,2016-10-03,
95448,78317,JOSEPH QUESENBERRY,JOSEPH,QUESENBERRY,1.0,1.0,JOSEPH,,QUESENBERRY,DEPUTY SHERIFF,BLAND COUNTY SHERIFF'S OFFICE,BLAND COUNTY SHERIFF'S OFFICE,2021-10-16,
54987,78309,ALLEN STUART,ALLEN,STUART,1.0,1.0,ALLEN,,STUART,DEPUTY SHERIFF,BLAND COUNTY SHERIFF'S OFFICE,BLAND COUNTY SHERIFF'S OFFICE,2023-01-17,
158000,78320,TYLER EASTEP,TYLER,EASTEP,1.0,1.0,TYLER,,EASTEP,DEPUTY SHERIFF,BLAND COUNTY SHERIFF'S OFFICE,BLAND COUNTY SHERIFF'S OFFICE,2023-01-03,
119350,41823,MATTHEW HATFIELD,MATTHEW,HATFIELD,1.0,1.0,MATTHEW,T.,HATFIELD,DEPUTY SHERIFF,BRISTOL CITY SHERIFF'S OFFICE,BRISTOL CITY SHERIFF'S OFFICE,2009-08-11,
